stop_id;stop_name;stop_lat;stop_lon;stop_code;location_type;parent_station;wheelchair_boarding;stop_direction
7927;Ferihegy vasútállomás;47.438405;19.222663;7927;;CS007927;2;-43
7928;Ferihegy vasútállomás;47.437693;19.223443;7928;;CS007927;2;134
7930;Savoyai Jenő tér (Törley tér);47.430374;19.036286;7930;;CS007930;1;
7931;Savoyai Jenő tér (Törley tér);47.430374;19.036551;7931;;CS007930;1;-93
7949;Kocsis Sándor út;47.574316;19.013288;;;;1;-130
7950;Keleti pályaudvar M;47.501104;19.082712;7950;;CSF01131;1;
7967;Kelenföld vasútállomás M;47.465750;19.021836;7967;;CS007967;1;
7968;Mogyoród útja;47.570602;19.128267;;;;1;38
7972;Hűvösvölgy;47.543166;18.964394;7972;;CS007976;2;
7973;Hűvösvölgy;47.542923;18.964567;7973;;CS007976;2;153
